,vmax_forward_Enz_A,vmax_forward_Enz_B,vmax_forward_Enz_C,vmax_forward_Enz_D,vmax_forward_Enz_E,vmax_forward_Enz_F,vmax_forward_Enz_G,vmax_forward_Enz_H,vmax_forward_Enz_L,vmax_forward_TKT2,vmax_forward_RPI,vmax_forward_PDH,vmax_forward_CS,km_substrate2_TKT2,km_substrate1_PDH,km_substrate1_Enz_A,km_substrate2_Enz_A,vmax_forward_Enz_I,km_substrate1_Enz_I,Product_I
2576,1.7608046363014922,0.5227853178374109,1.364491908260801,1.676860883912631,1.8084324881957303,1.930942124481056,0.7602519527493805,0.5266210937231275,1.7826510005930118,2.1541615285776774,1.409938965192003,0.9887086957174136,1.0022275269182237,0.4663756684302037,0.6258787397756852,2.128803974360684,1.0682071584083996,0.7759272252146678,1.0845728182463832,0.5450308114552551
2340,1.723264057557688,1.9833940657593367,0.7624393659837831,1.352908778226686,1.65057173119417,1.199983600190102,1.4257180184083122,1.251903172971938,1.9153971066505544,1.204824679889916,0.7583374468294753,0.8311110730947696,1.3522439483607975,0.9985857133388748,1.1857164515198968,1.6207730036279484,1.216343614085869,0.9906632204900632,0.8839554196973392,0.5134945162426297
3958,1.3082929746235723,0.8669725394634952,1.886895939373357,1.2607899723715106,0.6484270868596316,1.278491504784731,0.6382121885969754,1.675070153465971,0.5187922778379295,2.344123262615085,1.3148376613836184,0.932155325686848,0.6169860440688745,0.7345759076664232,1.557384972237421,2.175465686909285,0.7458012579918833,0.8551293438475722,1.0701679551503769,0.5974232709927014
4733,1.0121551116345515,1.8824653418888744,1.6486379535824565,0.8139915681171972,1.119121213539369,1.836322425017543,0.861140813630705,1.0691633529626268,1.642707268399374,1.5634913484815185,1.2724528314373624,0.9400516392020573,0.6411861090426083,2.120895757567218,0.7426862146440367,2.8629076933297632,0.824959917765317,0.6556707102011315,1.166743219958081,1.189386202779978
152,1.3600935261468314,1.163944906985633,1.7878354389669546,0.6342613840604951,1.6160891384192313,1.7235288068899683,1.124689604853674,1.923296481282734,1.4240758223623111,0.5967833527970299,1.2277010925207903,1.1169631752174656,1.2984770604492095,1.2500258849936898,1.2851137197273828,1.863129229367672,0.7218056252211124,1.1990651722074972,0.8108998417930636,0.7704037451824829
3081,0.7330789914420541,1.9886996911200407,1.2427437342511498,1.5503024376461638,0.8232244974040653,1.8838270614003032,1.519775709987493,1.2019342074468726,1.373739790615932,0.4645101300381312,1.2043485211711291,0.9007055655086722,1.18864890746978,0.9164812648903496,1.6615820285422385,1.4411556859662873,0.8636428255639835,0.6157188905830625,0.9714410854869748,1.521605194630464
2522,1.1260809879480496,1.3852077725464669,1.4779775698719222,1.5190185472719404,1.266181481138717,1.3942146771552024,1.2669643983314844,1.295053557750449,1.3428201150686006,1.2379127010103703,1.101419472668073,1.1052729189289825,0.656245165953642,2.126257994405157,1.565992474689794,2.501946564831344,0.7279979741893855,0.9509328737716998,1.1222349528207676,1.1561221936890045
4081,1.0597907499089467,1.2931875414871854,0.9576179705397462,1.564558071839404,1.2990563377393276,1.502476305492111,1.5719470452609898,0.561221774222201,0.9817051907218802,1.5228672147140934,0.6793448711652266,1.1149754304098087,0.8917280232193106,0.6695012927117767,0.9632350135629948,2.119864096254107,0.9844994957813488,1.2081172728162328,0.9030376087235994,0.2004909462115401
5085,0.9553924460916864,1.5789528232497911,0.9908915663836122,1.5891323841649911,1.4116774174382951,0.6932808232203108,0.5019741980271959,0.8172412422423794,1.6181822618138857,1.3060218711163003,0.8189516591292528,0.9837997324253652,1.256154016748884,1.3165367277385078,0.7156070037606092,0.763022921473336,1.2588088865390652,0.6660584099156014,1.1697223334115765,1.1964065547929912
3824,1.6717589958669332,1.2880738549497788,1.5513584524761468,1.912530812814196,1.6685242363681152,1.285958845301356,1.6566004601211235,0.5085170926509224,0.5873180678124712,2.6948881385930945,0.6296520767554692,1.1011664460149355,1.302731707446395,2.8639782564652703,0.92045624971362,2.3990278476027784,1.0736892609702613,1.2948153611308326,1.230546905806975,0.4043924023397424
5879,1.58209975733705,1.3246456533252815,1.7402081485813583,1.4658629836876738,0.9131377883796542,0.5023729225973208,1.736709845277641,1.6960856390504828,1.112949079561986,1.036241760235785,1.1265900410636862,0.829612838928769,1.3006194940481284,0.5953201804343369,1.2443950490796314,0.7188750046132235,0.7641466668252423,1.2618633866613598,1.061154251745204,1.333272826354762
4327,0.6656250979197151,0.7139863656361402,1.704154056326224,0.6991071468947804,0.5024950445383837,0.7585627925713416,1.3426497690476185,1.3213359023723683,1.3214595881149849,1.6830730013474204,1.1790121049467437,1.0146648792630433,0.9547002557744252,0.9607658898336472,1.4030183509742318,2.5028754276971883,1.1242299498794304,0.5968472771131011,1.299657004298369,0.3350141544279836
4142,0.9759256292641548,0.8946830845636156,1.357257582889817,1.2388729847030675,0.5895104660044423,0.5096391225435237,0.7915792988376599,1.4768063474115714,1.0246912660068317,1.9043163170531925,1.1814387861295947,0.8602190338692327,1.187772582177286,2.609058436140269,1.6117826929738763,1.2881133562469893,0.8463469677524924,0.6981620740726217,0.8021488858901841,1.191506100011665
2279,0.7659418331610441,1.0342188653730378,1.6937274023310938,1.2006805740646522,1.6658671502696194,1.7345600772866463,1.0510677261288262,1.754584863524428,1.4363332554479693,0.9168358991628054,0.5743071927518467,1.1617982350363507,0.9302659106806704,0.635520500210706,1.1428314175157697,2.4613384186746177,0.7581370003538079,1.3630642875060532,1.0795649706682668,0.225186942699887
6590,0.9530388061377828,1.6143437197093842,1.7261563985382289,1.6146030450934912,1.6867708608311556,1.71878897432372,0.7338152862669158,1.966623311627837,0.7343841997109607,0.6427152539051217,1.3687692365112405,1.042399907042266,0.9837965109732985,2.8154914038812286,1.4406773146743417,1.5707266633897434,1.194755405340853,1.3779266463434885,1.1200594874414842,1.2317722467822068
5038,1.4781064828616768,1.567049308905955,1.5438361457348928,1.7366678629608925,0.6992463791042325,0.5284731173994777,1.6208422084296057,1.4476005597638464,1.7203521511950914,1.3928215850639978,0.5613683348050762,1.1716386745547986,0.6916745780213883,2.395103810302702,1.4697064193558358,1.720094411155816,1.217826156458901,0.7736351243220627,0.7191068981532479,1.1854760951153829
4454,1.3599293240789605,1.488483091433931,1.4469847800163629,0.7753486539422685,0.8956497855411656,1.8972157657787376,1.6050502544917722,1.9872267740440148,1.703743039682041,1.5850444797998224,1.46837131243341,1.1677002607213942,0.6626299403874708,1.2912980397585043,1.7696893949400865,0.953408564066846,0.7497184150537988,0.7487785884102724,1.0866185005658842,1.4978898342244034
4463,1.7931607827185558,0.9006901445724498,1.254551734765727,0.6145319185703382,1.706211867465646,1.8934956965873324,1.6195469838179288,1.1974612023574964,0.5048824341883555,0.845965273901544,0.7554110720767278,0.9603373678366104,1.0061957790790117,1.455716476472871,1.6711087823159612,1.514887271552441,1.123352886589469,1.1871487605888795,0.9862536639079944,0.7673055047507572
